amount,device_type,transaction_time,location,frequency
5745.071229516849,web,afternoon,urban,8
4792.603548243223,mobile,morning,suburban,8
5971.5328071510385,mobile,evening,urban,9
7284.544784612038,atm,evening,urban,14
4648.769937914996,web,evening,urban,9
4648.794564576229,mobile,afternoon,urban,12
7368.819223261087,mobile,afternoon,urban,11
6151.152093729363,mobile,night,rural,13
4295.788421097572,mobile,evening,urban,11
5813.840065378947,mobile,morning,urban,11
4304.873460781307,mobile,afternoon,urban,11
4301.405369644614,mobile,evening,rural,11
5362.943407349051,mobile,evening,urban,8
2130.079633013303,web,afternoon,urban,10
2412.623251230451,mobile,night,urban,4
4156.568706138541,mobile,afternoon,urban,13
3480.7533194983644,mobile,afternoon,rural,9
5471.37099889291,atm,morning,rural,8
3637.963886718184,mobile,morning,urban,5
2881.544447997063,mobile,night,rural,11
7198.473153382331,atm,evening,suburban,11
4661.335549270197,web,afternoon,suburban,11
5101.292307031886,web,night,urban,5
2862.877720679815,mobile,morning,urban,14
4183.425913212226,mobile,afternoon,urban,11
5166.383884564799,web,evening,suburban,7
3273.5096338665458,atm,morning,urban,8
5563.547027518508,mobile,morning,urban,8
4099.041965121793,mobile,morning,urban,7
4562.459375310085,mobile,night,suburban,7
4097.440081655905,web,evening,urban,10
7778.417276763406,mobile,afternoon,suburban,6
4979.754162893099,mobile,night,rural,12
3413.433606566149,mobile,night,urban,9
6233.817368154783,mobile,night,suburban,13
3168.7345250434664,mobile,morning,urban,11
5313.295392507133,mobile,evening,suburban,17
2060.4948141803366,web,night,urban,3
3007.720926652354,mobile,afternoon,suburban,8
5295.291853803686,mobile,evening,suburban,15
6107.6998699931155,mobile,afternoon,rural,8
5257.052421784956,mobile,evening,suburban,9
4826.5275764176395,mobile,afternoon,urban,4
4548.344456616067,mobile,morning,suburban,15
2782.217014448859,mobile,night,suburban,10
3920.233687407937,mobile,afternoon,urban,18
4309.041843560319,mobile,evening,urban,16
6585.683339328374,atm,night,rural,9
5515.427434352692,mobile,night,suburban,7
2355.439766955899,web,evening,suburban,7
5486.125954092193,mobile,afternoon,urban,11
4422.376579375526,web,morning,suburban,5
3984.616999541062,web,morning,urban,7
5917.514433261302,mobile,afternoon,suburban,14
6546.499283743927,mobile,night,urban,10
6396.920178674298,mobile,night,suburban,10
3741.1737151660423,mobile,night,rural,10
4536.181436223178,atm,night,urban,10
5496.895147105346,web,afternoon,rural,11
6463.317690683539,atm,night,urban,4
4281.238643232065,mobile,evening,suburban,13
4721.511535004274,web,night,suburban,7
3340.4975389909578,atm,morning,urban,6
3205.690063878994,mobile,night,suburban,13
6218.7887335912965,mobile,afternoon,suburban,7
7034.360042856235,web,morning,urban,10
4891.984817629499,mobile,afternoon,urban,10
6505.299346838036,web,afternoon,suburban,5
5542.454037571451,mobile,morning,suburban,13
4032.3203680923134,web,afternoon,suburban,7
5542.093408262621,mobile,afternoon,suburban,8
7307.054849698954,mobile,night,urban,11
4946.260941335073,mobile,evening,suburban,13
7346.965483721009,web,afternoon,urban,15
1070.3823438653835,web,afternoon,urban,6
6232.853756562836,mobile,afternoon,urban,13
5130.570602357257,mobile,night,urban,6
4551.488974301199,web,evening,urban,7
5137.641164803254,mobile,morning,urban,11
2018.6466280986606,web,night,suburban,9
4670.4921682437325,mobile,night,urban,5
5535.668857267619,mobile,evening,urban,13
7216.841067112275,mobile,evening,urban,19
4222.594672589529,mobile,night,urban,11
3787.2595956602186,web,morning,urban,14
4247.364434623195,mobile,night,urban,6
6373.103176553112,mobile,evening,suburban,11
5493.126664489527,web,morning,suburban,7
4205.359694349442,mobile,evening,suburban,13
5769.901149670034,mobile,morning,urban,12
5145.61632402206,atm,afternoon,urban,10
6452.967485799334,web,evening,suburban,10
3946.9203591839714,mobile,evening,urban,10
4508.506780103347,atm,night,urban,8
4411.837770301763,web,evening,urban,5
2804.727577801822,mobile,evening,urban,6
5444.180415596864,mobile,afternoon,urban,9
5391.582908269834,web,evening,urban,11
5007.670184963691,web,afternoon,urban,8
4648.11929993728,mobile,afternoon,urban,11
2876.9438869243786,web,afternoon,suburban,12
4369.032015851962,web,afternoon,suburban,12
4485.928225209846,mobile,morning,suburban,8
3796.5840961675717,mobile,night,suburban,12
4758.071432500987,mobile,morning,rural,8
5606.076285221808,web,evening,urban,13
7829.278851815796,mobile,morning,urban,12
5261.866719247759,mobile,morning,urban,5
5386.325586084146,web,evening,suburban,10
4888.331126350749,web,evening,suburban,10
2121.8431770514376,mobile,evening,urban,21
4960.229186826175,web,morning,rural,9
5090.345314911539,mobile,morning,urban,8
8694.86316872793,web,evening,rural,8
4711.458552828316,mobile,night,urban,12
5452.321013500418,mobile,night,urban,14
4947.932345442135,web,afternoon,urban,14
3246.982943570702,mobile,evening,urban,12
6714.234221772531,mobile,afternoon,urban,5
6127.899549030161,web,night,urban,8
6186.547920564571,web,afternoon,suburban,8
3635.9188178078916,web,evening,urban,12
7104.191466404149,web,evening,urban,12
2897.2234058115787,mobile,evening,suburban,15
5880.285640700406,mobile,morning,suburban,4
8285.683438714968,mobile,afternoon,urban,13
3514.1955123039675,mobile,night,urban,14
4150.553405595842,atm,night,urban,11
5149.477047631462,mobile,night,urban,14
4244.786518825701,mobile,morning,suburban,10
2674.004853400801,mobile,morning,urban,8
5102.844462209041,atm,evening,urban,13
3406.544429410843,mobile,night,suburban,15
5710.388645952772,mobile,morning,urban,11
