[2025-08-27 23:43:42.669245] New connection from ('10.239.111.151', 52092)
[2025-08-27 23:45:16.433514] New connection from ('10.239.111.151', 52142)
[2025-08-27 23:45:32.205846] Login attempt: user=someuser, pass=2008
[2025-08-27 23:51:44] New connection from 10.239.111.151:52298
[2025-08-27 23:51:48] Login attempt: user='someuser', pass='2008'
[2025-08-27 23:51:50] Command from 10.239.111.151:52298 (someuser): p
[2025-08-27 23:51:51] Command from 10.239.111.151:52298 (someuser): w
[2025-08-27 23:51:51] Command from 10.239.111.151:52298 (someuser): d
[2025-08-27 23:51:55] Command from 10.239.111.151:52298 (someuser): p
[2025-08-27 23:51:55] Command from 10.239.111.151:52298 (someuser): w
[2025-08-27 23:51:57] Command from 10.239.111.151:52298 (someuser): h
[2025-08-27 23:51:57] Command from 10.239.111.151:52298 (someuser): d
[2025-08-27 23:51:58] Command from 10.239.111.151:52298 (someuser): b
[2025-08-27 23:51:58] Command from 10.239.111.151:52298 (someuser): f
[2025-08-27 23:51:58] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:30] Command from 10.239.111.151:52298 (someuser): s
[2025-08-27 23:53:30] Command from 10.239.111.151:52298 (someuser): c
[2025-08-27 23:53:32] Command from 10.239.111.151:52298 (someuser): o
[2025-08-27 23:53:32] Command from 10.239.111.151:52298 (someuser): f
[2025-08-27 23:53:32] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:32] Command from 10.239.111.151:52298 (someuser): e
[2025-08-27 23:53:32] Command from 10.239.111.151:52298 (someuser): l
[2025-08-27 23:53:32] Command from 10.239.111.151:52298 (someuser): d
[2025-08-27 23:53:33] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:33] Command from 10.239.111.151:52298 (someuser): s
[2025-08-27 23:53:34] Command from 10.239.111.151:52298 (someuser): n
[2025-08-27 23:53:34] Command from 10.239.111.151:52298 (someuser): a
[2025-08-27 23:53:34] Command from 10.239.111.151:52298 (someuser): o
[2025-08-27 23:53:35] Command from 10.239.111.151:52298 (someuser): s
[2025-08-27 23:53:35] Command from 10.239.111.151:52298 (someuser): d
[2025-08-27 23:53:35] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:35] Command from 10.239.111.151:52298 (someuser): c
[2025-08-27 23:53:36] Command from 10.239.111.151:52298 (someuser): o
[2025-08-27 23:53:36] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:36] Command from 10.239.111.151:52298 (someuser): c
[2025-08-27 23:53:36] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:36] Command from 10.239.111.151:52298 (someuser): c
[2025-08-27 23:53:36] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:37] Command from 10.239.111.151:52298 (someuser): d
[2025-08-27 23:53:37] Command from 10.239.111.151:52298 (someuser): i
[2025-08-27 23:53:45] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:46] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:47] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:47] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:47] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:48] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:48] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:49] Command from 10.239.111.151:52298 (someuser): 
[2025-08-27 23:53:49] Command from 10.239.111.151:52298 (someuser): 
